customer_id,claim_id,incident_cause,claim_date,claim_area
21868593,54004764,Driver error,11/27/2017,Auto
75740424,33985796,Crime,10/03/2018,Home
30308357,53522022,Other driver error,02/02/2018,Auto
47830476,13015401,Natural causes,06/17/2018,Auto
19269962,22890252,Crime,01/13/2018,Auto
21831191,24050443,Other driver error,10/04/2017,Auto
18401412,12878692,Driver error,01/13/2018,Auto
73486606,27026412,Natural causes,04/10/2018,Auto
32813689,43908336,Crime,02/15/2018,Auto
33507197,63246959,Crime,07/22/2017,Auto
99103685,74165873,Other driver error,01/13/2018,Home
51583214,28564401,Other driver error,12/10/2017,Auto
35875366,72738047,Other driver error,04/24/2018,Auto
21240703,53780662,Other driver error,09/19/2018,Auto
18288638,67257404,Other driver error,04/24/2018,Auto
63240241,35489765,Natural causes,10/03/2018,Auto
1407979,12548447,Driver error,06/03/2018,Auto
63916778,7809917,Other causes,07/22/2017,Auto
17004138,29205389,Natural causes,06/25/2017,Auto
9667764,19051665,Other causes,12/17/2017,Auto
75584003,32630720,Crime,02/03/2017,Auto
90012444,17910612,Other driver error,08/24/2017,Auto
10665308,46956597,Natural causes,07/20/2018,Auto
35597589,68848682,Other driver error,05/29/2017,Auto
1924109,8782253,Driver error,09/14/2017,Auto
12871942,41262918,Natural causes,04/25/2017,Auto
32155446,71088680,Driver error,12/24/2017,Auto
35876516,54764639,Driver error,08/10/2018,Auto
13265356,52278305,Driver error,10/17/2017,Home
80379865,18210740,Natural causes,02/09/2018,Auto
64899302,22215431,Other driver error,06/23/2018,Auto
11278282,10738822,Natural causes,08/10/2018,Auto
90425966,7800059,Driver error,03/01/2018,Auto
70459181,16773361,Other driver error,10/10/2017,Auto
91546921,99427250,Crime,05/21/2018,Home
26489135,70399158,Driver error,07/01/2017,Auto
76422302,5481268,Crime,10/31/2017,Home
27205554,13167216,Driver error,05/14/2018,Auto
60225946,30942972,Other causes,02/17/2017,Auto
34790013,13578273,Other driver error,12/24/2017,Auto
53333796,22639991,Other causes,10/09/2018,Auto
28307541,73894966,Driver error,11/27/2017,Auto
85536059,64959397,Other driver error,04/25/2017,Auto
54642094,3673097,Driver error,04/12/2017,Auto
47091036,58245818,Driver error,07/27/2018,Home
48277275,83744906,Other driver error,04/12/2017,Auto
75252854,14836805,Other driver error,02/23/2017,Auto
31012778,28636278,Other causes,03/01/2018,Auto
84571128,96749077,Natural causes,05/15/2017,Auto
38286862,40638641,Other causes,10/31/2017,Auto
