customer_id,police_report,claim_type,claim_amount,total_policy_claims,fraudulent
21868593,No,Material only,$2980,1.0,No
75740424,Unknown,Material only,$2980,3.0,No
30308357,No,Material only,$3369.5,1.0,Yes
47830476,No,Material only,$1680,1.0,No
19269962,No,Material only,$2680,1.0,No
21831191,No,Injury only,$38306.5,3.0,Yes
18401412,No,Material only,$1730,4.0,No
73486606,No,Material only,$1160,3.0,No
32813689,Unknown,Material only,$2620,1.0,No
33507197,No,Material only,$2748.5,2.0,Yes
99103685,No,Material only,$1495,1.0,Yes
51583214,Unknown,Material and injury,$16690,1.0,No
35875366,Unknown,Material only,$1870,1.0,No
21240703,Unknown,Material only,$1050,1.0,No
18288638,Yes,Injury only,$32560,1.0,No
63240241,No,Material only,$2870,1.0,No
1407979,Unknown,Material only,$3208.5,1.0,Yes
63916778,No,Injury only,$17800,1.0,No
17004138,No,Injury only,$31380,1.0,No
9667764,Yes,Injury only,$36190,1.0,No
75584003,No,Material only,,1.0,No
90012444,No,Material only,$1010,1.0,No
10665308,No,Material only,,1.0,No
35597589,Yes,Injury only,$16830,1.0,No
1924109,No,Material only,$1690,1.0,No
12871942,No,Material only,$2830,1.0,No
32155446,No,Material and injury,$32640,4.0,No
35876516,No,Material only,$2870,1.0,No
13265356,No,Material only,$1210,1.0,No
80379865,No,Injury only,$18580,,No
64899302,No,Material only,$2630,1.0,No
11278282,No,Material only,$2540,1.0,No
90425966,No,Material only,$2320,1.0,No
70459181,No,Material only,$2725.5,1.0,Yes
91546921,No,Material only,$2070,1.0,No
26489135,No,Material only,$1110,1.0,No
76422302,No,Material only,$1030,1.0,No
27205554,No,Injury only,$16910,1.0,No
60225946,No,Material only,$1890,1.0,No
34790013,Yes,Material and injury,$33040,5.0,No
53333796,Yes,Material and injury,$25320,1.0,No
28307541,No,Material only,$2340,1.0,No
85536059,Yes,Material and injury,$33000,2.0,No
54642094,No,Injury only,$19960,1.0,No
47091036,No,Injury only,$27230,1.0,No
48277275,No,Material and injury,$16150,1.0,No
75252854,Yes,Injury only,$32630,1.0,No
31012778,No,Material only,,5.0,Yes
84571128,No,Material only,,1.0,Yes
38286862,Unknown,Material and injury,$41850,1.0,No
1163515,Yes,Injury only,$30540,1.0,No
18361978,Unknown,Material and injury,$25576,7.0,Yes
94953428,No,Material only,$2210,3.0,No
42333031,Yes,Material and injury,$40820,3.0,No
91786228,No,Material only,$1150,1.0,Yes
61051505,Unknown,Material and injury,$35765,1.0,Yes
8132649,No,Material only,$2470,1.0,No
49428676,No,Material and injury,$20999,1.0,Yes
77436411,Unknown,Material only,$3358,4.0,Yes
44319192,Yes,Material and injury,$41430,1.0,No
57510487,No,Material only,$1730,1.0,No
62797342,Unknown,Material and injury,$20360,1.0,No
56923917,No,Material only,$2870,4.0,No
83088652,Unknown,Material only,$2910,1.0,No
53087364,No,Material and injury,$33550,1.0,No
9089663,No,Material and injury,$33190,1.0,No
83290720,Yes,Material and injury,,1.0,No
78364565,Yes,Injury only,$25830,3.0,No
99761663,No,Material only,$1242,1.0,Yes
6298259,Unknown,Material and injury,$20080,2.0,No
51936868,No,Material only,$2120,1.0,No
35907845,Unknown,Material and injury,$19520,1.0,No
17390816,No,Material only,$2090,1.0,No
9908654,No,Material only,$1989.5,1.0,Yes
47228798,Unknown,Material only,,1.0,Yes
11593991,No,Material only,$2060,1.0,No
15036122,Unknown,Injury only,$30080,1.0,No
59046302,No,Material only,$1680,6.0,No
74058124,Unknown,Injury only,$21505,1.0,Yes
95221640,No,Material only,$2040,1.0,No
5956033,No,Material and injury,,1.0,Yes
91462331,Unknown,Material and injury,$42722.5,1.0,Yes
7946799,Unknown,Material and injury,$34971.5,5.0,Yes
83884401,No,Material only,$1288,1.0,Yes
36498462,Yes,Injury only,$37800,1.0,No
88191021,Yes,Material only,,1.0,No
88567908,No,Material only,$1180,1.0,No
72896975,Unknown,Material and injury,$32480,1.0,No
85650096,No,Material only,$2710,1.0,No
51349085,No,Material only,$2620,2.0,No
90202451,No,Material only,$1943.5,1.0,Yes
55180831,No,Material and injury,,1.0,No
